name,description,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
el_api_base,[Last Year] English Learners API (Base),,,,,,,X,X,X,X,X,X,X,X
el_api_growth,[This Year] English Learners API (Growth),,,,,,,X,X,X,X,X,X,X,X
el_grow,[Last year Range] English Learners API Growth,,,,,,,,,,,,,X,X
el_grow,[Last year Range] English Learners Subgroup API Growth,,,,,,,X,X,X,X,X,X,,
el_met,Met English Learner Growth Target,,,,,,,,,,,,,X,X
el_met,Met English Learner Subgroup Growth Target,,,,,,,X,X,X,X,X,X,,
el_num,Number of English Learners included in API,,,,,,,X,X,X,X,X,X,X,X
el_sig,English Learners Significant Both Years? (Yes/No),,,,,,,,X,X,X,X,X,X,X
el_sig,English Learners Significant? (Yes/No),,,,,,,X,,,,,,,
el_targ,[Last year Range] English Learner Subgroup Growth Target,,,,,,,X,X,X,X,X,X,,
el_targ,[Last year Range] English Learner Growth Target,,,,,,,,,,,,,X,X
ell,English Language Learners,X,,,,,,,,,,,,,
emer,Percent Teachers at this school with Emergency Credentials,X,X,X,X,X,X,X,X,X,X,X,X,X,X
enroll,Number of Students Enrolled on the First Day of Testing for Grades 2-11,X,X,X,X,X,X,X,X,X,X,X,X,X,X
fi_api_base,[Last Year] Filipino API (Base),X,X,X,X,X,X,X,X,X,X,X,X,X,X
fi_api_growth,[This Year] Filipino API (Growth),X,X,X,X,X,X,X,X,X,X,X,X,X,X
fi_grow,[Last year Range] Filipino API Growth,,,,,,,,,,,,,X,X
fi_grow,[Last year Range] Filipino Subgroup API Growth,X,X,X,X,X,X,X,X,X,X,X,X,,
fi_met,Met Filipino Growth Target,,,,,,,,,,,,,X,X
fi_met,Met Filipino Subgroup Growth Target,X,X,X,X,X,X,X,X,X,X,X,X,,
fi_num,Number of Filipino Included in API,,,,,,,,,,,X,X,X,X
fi_num,Number of Filipinos Included in API,X,X,X,X,X,X,X,X,X,X,,,,
